Postcode,Venue,Lat,Lon,Category
80331,Asamkirche (St. Johann Nepomuk),48.135053450258326,11.569746277160712,Church
80331,The High,48.13310102633997,11.572938966191533,Cocktail Bar
80331,Ringlers,48.134097,11.568302,Sandwich Place
80331,Marienplatz,48.13717504335439,11.57548638271061,Plaza
80331,Viktualienmarkt,48.13529613214196,11.576367768074439,Farmers Market
80331,landersdorfer & innerhofer - restaurant,48.13623678947609,11.56991682844317,German Restaurant
80331,Patolli,48.134208031658936,11.56811426452607,Coffee Shop
80331,Rindermarkt,48.13609857914366,11.573914758665321,Plaza
80331,Unter Deck,48.13499210443137,11.571283914108792,Bar
80331,Biergarten am Viktualienmarkt,48.1351936744121,11.576364766282014,Beer Garden
80331,St. Peter,48.13653033744336,11.575615102948722,Church
80331,Hirmer,48.138023229321696,11.572046157913082,Men's Store
80331,Fischbrunnen,48.13721054807242,11.57604728180553,Fountain
80331,Schmalznudel - Café Frischhut,48.13485770889897,11.57478317963125,Café
80331,St. Michael,48.13843576216555,11.570351323465532,Church
80331,Augustiner Klosterwirt,48.138649448058345,11.572527009723416,German Restaurant
80331,Venchi Gelato,48.134563,11.574657,Ice Cream Shop
80331,Kustermann,48.13624185951994,11.57489743951907,Department Store
80331,Chocolaterie Beluga,48.135749958121224,11.575775742530823,Café
80331,Sababa,48.13474777433371,11.577250105813546,Falafel Restaurant
80331,Weinhaus Neuner,48.137694048832856,11.568339898611708,German Restaurant
80331,Galeria Gourmet,48.13743238817685,11.573216827217955,Gourmet Shop
80331,mymuesli Laden,48.13535742016771,11.576714414351619,Organic Grocery
80331,Wirtshaus zum Straubinger,48.13376,11.574418,Bavarian Restaurant
80331,Oberpollinger,48.13883839775806,11.567608724407961,Department Store
80331,Fisch Witte,48.13499942195012,11.577124967645538,Fish Market
80331,Sendlinger Tor,48.133702710737936,11.567109876417671,Monument / Landmark
80331,ZWICKL Gastlichkeit am Viktualienmarkt,48.135239996292604,11.577249325837808,German Restaurant
80331,Alois Dallmayr,48.13855416294957,11.576749895722832,Gourmet Shop
80331,Kilians,48.13871994658476,11.574555957384717,Irish Pub
80331,Andechser am Dom,48.138302,11.573778,Bavarian Restaurant
80331,Bar Centrale,48.136821,11.579873,Café
80331,Manufactum,48.138775642303514,11.577317676699028,Department Store
80331,Atelier,48.137103126968285,11.563598876084447,Indie Movie Theater
80331,Mandarin Oriental Munich,48.137299197481546,11.580940335988998,Hotel
80331,Schneider Bräuhaus,48.136378,11.578446,Bavarian Restaurant
80331,Cortiina Hotel,48.136804,11.57945,Hotel
80331,Little London,48.13556217405231,11.58096107013997,Steakhouse
80331,Pusser's,48.1385001084952,11.58042637623221,Cocktail Bar
80331,Globetrotter,48.134611,11.581879,Sporting Goods Shop
80333,Königsplatz,48.14590269605444,11.565099067039846,Plaza
80333,NS-Dokumentationszentrum,48.14531493652586,11.56758427619934,History Museum
80333,Vorhoelzer Forum,48.14833025949782,11.567714192451895,Event Space
80333,Rooftop Bar TU München,48.148311,11.568174,Roof Deck
80333,Staatliches Museum Ägyptischer Kunst,48.14726961267973,11.568494201498734,History Museum
80333,Pinakothek der Moderne,48.14710902914007,11.572229666976487,Art Museum
80333,The Charles Hotel,48.142934597624325,11.562525629997253,Hotel
80333,Von&Zu,48.14788490114521,11.565157718365803,Café
80333,Cotidiano,48.14020195075453,11.570149077211648,Restaurant
80333,Städtische Galerie im Lenbachhaus,48.14676098325046,11.563528776168823,Art Museum
80333,Café im Vorhoelzer Forum,48.14841272862209,11.567786220958007,Café
80333,Ballabeni,48.14831238954939,11.574575340740491,Ice Cream Shop
80333,benko,48.1488,11.56564,Café
80333,L'Osteria,48.140232,11.567688,Trattoria/Osteria
80333,Lenbachs & Söhne,48.141773442809345,11.571239569426293,Bar
80333,Maximiliansplatz,48.141935896251276,11.57137155532837,Park
80333,Theresa Bar,48.147589683254914,11.575060946749227,Bar
80333,Wittelsbacher Platz,48.14307968132669,11.57599910195933,Plaza
80333,Rocca Riviera,48.14354415044174,11.57605100921803,French Restaurant
80333,Sophia's,48.142795,11.562438,Italian Restaurant
80333,Hotel Bayerischer Hof,48.14029494970563,11.573082503084743,Hotel
80333,The Italian Shot,48.14811439351411,11.575081465101965,Italian Restaurant
80333,Cafe Luitpold,48.14313591326277,11.574685226616356,Café
80333,MAELU,48.140983,11.576729,Café
80333,ARAN Fünf Höfe,48.1407145021652,11.576498919834604,Café
80333,Burrito Company,48.15017990331075,11.563608584254464,Burrito Place
80333,Volkstheater,48.14779895744014,11.560289874722967,Theater
80333,Joon,48.15094,11.565307,Café
80333,Frida,48.14969040247115,11.56480660345666,Pub
80333,Kaito,48.14959911595672,11.56087185986773,Sushi Restaurant
80333,Drunken Cow Bar & Grill,48.1496381442721,11.560806375261373,Steakhouse
80333,Bite Delite,48.13999643231038,11.57507175739173,Café
80333,Kunsthalle München,48.1399667000461,11.575919702004619,Art Museum
80333,LODENFREY München am Dom,48.13951472220955,11.574043332628872,Clothing Store
80333,Elly Seidl,48.13941018983618,11.575511915288066,Candy Store
80333,Fünf Höfe,48.14015749153649,11.575260843998763,Shopping Mall
80333,Antiquarium,48.14066812614426,11.578907704824815,Historic Site
80333,Louis Vuitton München Residenzpost,48.13921,11.57766,Boutique
80333,Residenz,48.14128433160972,11.57901091617532,Palace
80333,Grill & Grace,48.149778,11.559788,Steakhouse
80333,Nudo,48.14946314294317,11.577926117575426,Italian Restaurant
80333,Alter Simpl,48.15085905162649,11.576340320548328,German Restaurant
